ticker,asof_date,confidence,entry,stop,target,max_hold_days,outcome,exit_price,ret_pct,hold_sessions,ret_5d_pct,ret_10d_pct,vol_ratio,atr_pct,breakout_dist_pct
ALGM,2026-01-30,92,37.98,35.36105357142856,43.21789285714286,5,time,41.56999969482422,9.452342535082208,5,12.333629103815413,17.767441860465105,3.6504039684048477,4.597062363650045,-7.318451539983036
ALGM,2026-01-30,92,37.98,35.36105357142856,43.21789285714286,5,time,41.56999969482422,9.452342535082208,5,12.333629103815413,17.767441860465105,3.6504039684048477,4.597062363650045,-7.318451539983036
ALGM,2026-01-30,92,37.97999954223633,35.36099828992571,43.21800204685756,5,time,41.56999969482422,9.452343854284589,5,12.33362318713036,17.76744044104288,3.6502794127522566,4.59715865170581,-7.318452097361337
ALGM,2026-01-30,92,37.97999954223633,35.36099828992571,43.21800204685756,5,time,41.56999969482422,9.452343854284589,5,12.33362318713036,17.76744044104288,3.6502794127522566,4.59715865170581,-7.318452097361337
AEHR,2026-02-12,98,33.85,28.990010714285717,43.56997857142858,5,stop,28.990010714285717,-14.357427727368641,1,42.047838858581635,20.979270907791282,3.918571205026756,9.571618484912431,-6.318824556664639
ANAB,2026-02-12,85,55.25,50.244125000000004,65.26174999999999,5,stop,50.244125000000004,-9.060407239818998,1,14.200082678792892,16.43835616438356,2.9210914299400383,6.040271493212666,-6.188737266961366
BFLY,2026-02-27,100,4.67,4.2149214285714285,5.580157142857143,5,stop,4.2149214285714285,-9.744723156928725,1,52.61437908496731,42.37804878048781,9.106237263459763,6.496482104619147,-4.241071428571417
BCRX,2026-03-02,100,8.75,8.252214285714285,9.745571428571429,5,time,8.619999885559082,-1.485715593610491,5,17.4496644295302,28.676470588235304,3.69864589346874,3.7926530612244926,-6.772422208663816
BGS,2026-03-05,84,5.87,5.434314285714286,6.741371428571429,5,stop,5.434314285714286,-7.422243854952545,1,10.754716981132084,18.585858585858595,2.7881534512126747,4.948162569968363,-6.533575317604362
BRCB,2026-03-05,92,16.22,14.503357142857142,19.653285714285712,5,time,16.229999542236328,0.06164945891694983,5,28.628072957969852,21.8632607062359,2.7116307597008547,7.055663202395632,-0.5579665220086787
