asof_date,ticker,confidence,entry,hold_days,ret_5d_pct,ret_10d_pct,atr_pct,vol_ratio,notes,hold_ret_pct,ret_3d_pct,ret_5d_fwd_pct,n_sessions_available,ai_gate,ai_decision,ai_total,ai_conviction,ai_model,has_ai,research_status,finalized_pnl_pct,finalized_outcome,ret_1d_pct_sql,ret_5d_pct_sql,ret_10d_pct_sql,vol_ratio_sql,atr_pct_sql,breakout_dist_pct_sql,ret_5d_pct_use,ret_10d_pct_use,vol_ratio_use,atr_pct_use
2026-07-02,GRND,93,15.6899995803833,3,,,,,,2.103256126233174,2.103256126233174,0.0,22,none,—,,,,False,finalized,2.1,time,9.185801707282781,19.044000129664962,17.44011963758947,2.2497274284824256,4.849769199607947,-4.704704303359193,19.044000129664962,17.44011963758947,2.2497274284824256,4.849769199607947
2026-07-02,LHAI,100,2.740000009536743,3,,,,,,-46.71532726038867,-46.71532726038867,-58.0291980965148,22,evaluated,WAIT,86.8412063601799,0.55,,True,finalized,-12.74,stop,315.1515000998378,285.372702129948,268.27956244103126,19.88597154441569,8.490614804319444,-172.63681816289352,285.372702129948,268.27956244103126,19.88597154441569,8.490614804319444
2026-07-02,NGNE,94,33.880001068115234,3,,,,,,12.86895062838353,12.86895062838353,16.97166416388155,22,none,—,,,,False,finalized,15.0,target,7.7265508624066115,12.670440345720424,15.4344144046606,2.8955699564432167,6.001011129583199,-1.104156267128999,12.670440345720424,15.4344144046606,2.8955699564432167,6.001011129583199
2026-07-06,GPC,96,132.57000732421875,3,,,,,,-6.260851039144541,-6.260851039144541,-6.826589862833196,21,none,—,,,,False,finalized,-5.09,stop,12.921640205426964,17.32897586568376,24.924617313476883,2.5594765908902035,3.395509947949213,-10.798166012179612,17.32897586568376,24.924617313476883,2.5594765908902035,3.395509947949213
2026-07-06,REAX,94,2.1700000762939453,3,,,,,,-1.382487112212744,-1.382487112212744,-4.608301361073389,21,none,—,,,,False,finalized,1.38,time,9.595962393443159,25.433529038693536,26.900586426035854,2.324204591220298,5.57932691251247,-6.89655698902934,25.433529038693536,26.900586426035854,2.324204591220298,5.57932691251247
2026-07-06,RIVN,88,18.6299991607666,3,,,,,,-2.7375112426586785,-2.7375112426586785,-7.085344896869563,21,none,—,,,,False,finalized,-8.51,stop,8.440039754562644,25.37011837948011,14.575638982311045,2.405015901471607,5.6709604804687626,-0.43126645281054776,25.37011837948011,14.575638982311045,2.405015901471607,5.6709604804687626
2026-07-06,RXST,87,5.610000133514404,3,,,,,,-9.447418844825036,-9.447418844825036,-9.803924735208762,21,none,—,,,,False,finalized,-9.2,stop,8.510639279059129,9.356725309270253,22.222221067932367,2.382563400324889,6.130633998760564,-2.1857990418786377,9.356725309270253,22.222221067932367,2.382563400324889,6.130633998760564
2026-07-06,SLDE,96,21.25,3,,,,,,-2.070590748506434,-2.070590748506434,0.6117607565487132,21,none,—,,,,False,finalized,-3.67,time,6.303152792939515,17.663347886988223,26.187647312665852,2.5643609022556393,3.851091400915835,-6.3031527929395095,17.663347886988223,26.187647312665852,2.5643609022556393,3.851091400915835
2026-07-07,LHSW,100,6.800000190734863,3,,,,,,-49.26470660420848,-49.26470660420848,-62.794119111394345,20,none,—,,,,False,finalized,-15.06,stop,277.7777983818531,362.5850379855933,279.46428464516543,17.106791866319945,10.03991540127679,-70.68273710036686,362.5850379855933,279.46428464516543,17.106791866319945,10.03991540127679
2026-07-07,OFIX,95,11.56999969482422,3,,,,,,0.5185861814978275,0.5185861814978275,-5.358685409788177,20,none,—,,,,False,finalized,-2.29,time,16.398392185626864,18.302658596384447,22.43386167564314,2.3607830668604652,5.148782264195983,-9.357275786930048,18.302658596384447,22.43386167564314,2.3607830668604652,5.148782264195983
2026-07-07,RMD,85,218.3999938964844,3,,,,,,-6.65293002992651,-6.65293002992651,-11.625457920883736,20,none,—,,,,False,finalized,-4.3,stop,4.183556174877956,9.041889868396847,15.78221292639348,2.2772038944193533,2.864010809546852,-4.1587187739874025,9.041889868396847,15.78221292639348,2.2772038944193533,2.864010809546852
2026-07-08,KFRC,91,54.400001525878906,3,,,,,,2.996318396503269,2.996318396503269,2.0036766948790636,19,none,—,,,,False,finalized,1.74,time,7.765455664005572,10.099173636666482,23.805196235968463,2.6330546757360196,4.108455887324905,-5.836575702219694,10.099173636666482,23.805196235968463,2.6330546757360196,4.108455887324905
2026-07-08,KURA,84,11.989999771118164,3,,,,,,-9.007505790847366,-9.007505790847366,-5.504585988416237,19,none,—,,,,False,finalized,-6.68,stop,8.605070765830703,9.298080941301734,15.733592359632432,2.0383902716837654,4.450136694836326,-6.720072430017407,9.298080941301734,15.733592359632432,2.0383902716837654,4.450136694836326
2026-07-08,NGNE,88,36.79999923706055,3,,,,,,4.130436112164126,4.130436112164126,7.201091252225197,19,none,—,,,,False,finalized,16.79,target,13.022105911972126,14.002480262367989,14.108524766079222,2.4394696056483554,6.7156447298319835,-2.1229343496261364,14.002480262367989,14.108524766079222,2.4394696056483554,6.7156447298319835
2026-07-09,NVVE,100,8.489999771118164,3,,,,,,86.1013029056177,86.1013029056177,-1.2956379227647343,18,none,—,,,,False,finalized,30.45,target,63.58380881531325,2038.5389055416554,2419.287673229309,17.89300727652946,12.181558365535688,-32.44929755413032,2038.5389055416554,2419.287673229309,17.89300727652946,12.181558365535688
2026-07-09,PRME,99,4.619999885559082,3,,,,,,-24.891772412017865,-24.891772412017865,-30.3030279573142,18,none,—,,,,False,finalized,-12.14,stop,15.789470539261586,25.203246989626283,42.59258864075288,2.8509605894713697,8.093692797785918,-6.94443754575898,25.203246989626283,42.59258864075288,2.8509605894713697,8.093692797785918
2026-07-13,NVVE,100,13.670000076293944,3,,,,,,-38.69787807116964,-38.69787807116964,-40.96562070384373,16,none,—,,,,False,finalized,43.53,target,55.69476642418935,137.32638078293346,141.86129151159827,6.275850760200121,17.413000116665394,-14.116370079449773,137.32638078293346,141.86129151159827,6.275850760200121,17.413000116665394
2026-07-13,PHAT,92,12.609999656677246,3,,,,,,-13.005546663754467,-13.005546663754467,-15.543220392627957,16,none,—,,,,False,finalized,-7.31,stop,3.700656372630684,12.589284566288072,21.95357321654605,2.081811017981231,4.871417051059803,-3.1914842972688624,12.589284566288072,21.95357321654605,2.081811017981231,4.871417051059803
2026-07-13,SUNE,100,3.8299999237060542,3,,,,,,-32.11488364426104,-32.11488364426104,-34.98694362564572,16,none,—,,,,False,finalized,-15.75,stop,49.60937536379788,70.98213872321104,50.787400835704055,12.527705097207962,10.499813258043927,-3.5135101174855863,70.98213872321104,50.787400835704055,12.527705097207962,10.499813258043927
2026-07-14,QTTB,100,21.3799991607666,3,,,,,,-29.607105792817865,-29.607105792817865,-27.92329068145965,15,none,—,,,,False,finalized,-15.56,stop,90.72256099921248,66.18732639828376,62.33864113069132,14.70201796868587,10.375853029083473,-42.34353201843957,66.18732639828376,62.33864113069132,14.70201796868587,10.375853029083473
2026-07-15,NXTC,100,6.579999923706055,3,,,,,,-17.933128298184105,-17.933128298184105,-33.13069686345499,14,filtered,WAIT,100.0,,gpt-4.1-2025-04-14,True,finalized,-8.97,time,201.83484964264008,269.6629230037902,275.99999564034596,19.611104040275478,13.269647378606845,-163.1999969482422,269.6629230037902,275.99999564034596,19.611104040275478,13.269647378606845
2026-07-20,GPRE,100,19.229999542236328,3,13.8543530914633,23.98452133113011,4.461037900907023,3.4972785278908423,breakout + momentum + volume,-10.55641616027204,-10.55641616027204,-14.508575530908471,11,filtered,WAIT,100.0,,gpt-5.4-2026-03-05,True,finalized,-6.69,stop,,,,,,,13.8543530914633,23.98452133113011,3.4972785278908423,4.461037900907023
2026-07-24,OII,92,48.02000045776367,3,13.522461758561043,18.043264743176547,3.9209859245797793,2.079448982860804,breakout + momentum + volume,-2.998747632198682,-2.998747632198682,1.5826703754442173,7,filtered,WAIT,73.49,,gpt-5.4-2026-03-05,True,finalized,9.8,target,6.711112128363705,13.522461758561043,18.043264743176547,2.079448982860804,3.9209859245797793,-4.595949939804892,13.522461758561043,18.043264743176547,2.079448982860804,3.9209859245797793
