asof_date,ticker,confidence,entry,hold_days,ret_5d_pct,ret_10d_pct,atr_pct,vol_ratio,notes,hold_ret_pct,ret_3d_pct,ret_5d_fwd_pct,n_sessions_available,ai_gate,ai_decision,ai_total,ai_conviction,ai_model,has_ai,research_status,finalized_pnl_pct,finalized_outcome,confidence_sql,score,notes_sql,ret_1d_pct,ret_5d_pct_sql,ret_10d_pct_sql,vol_ratio_sql,atr_pct_sql,breakout_dist_pct,max_hold_days
2026-07-02,GRND,93,15.6899995803833,3,,,,,,2.103256126233174,2.103256126233174,0.0,8,none,—,,,,False,finalized,2.1,time,93,0.9265907231044418,breakout + momentum + volume,9.185801707282781,19.044000129664962,17.44011963758947,2.2497274284824256,4.849769199607947,-4.704704303359193,3
2026-07-02,LHAI,100,2.740000009536743,3,,,,,,-46.71532726038867,-46.71532726038867,-58.0291980965148,8,evaluated,WAIT,86.8412063601799,0.55,,True,finalized,-12.74,stop,100,1.0,breakout + momentum + volume,315.1515000998378,285.372702129948,268.27956244103126,19.88597154441569,8.490614804319444,-172.63681816289352,3
2026-07-02,NGNE,94,33.880001068115234,3,,,,,,12.86895062838353,12.86895062838353,16.97166416388155,8,none,—,,,,False,finalized,15.0,target,94,0.9414111097942242,breakout + momentum + volume,7.7265508624066115,12.670440345720424,15.4344144046606,2.8955699564432167,6.001011129583199,-1.104156267128999,3
2026-07-06,GPC,96,132.57000732421875,3,,,,,,-6.260851039144541,-6.260851039144541,-6.826589862833196,7,none,—,,,,False,finalized,-5.09,stop,96,0.963289715907517,breakout + momentum + volume,12.921640205426964,17.32897586568376,24.924617313476883,2.5594765908902035,3.395509947949213,-10.798166012179612,3
2026-07-06,REAX,94,2.1700000762939453,3,,,,,,-1.382487112212744,-1.382487112212744,-4.608301361073389,7,none,—,,,,False,finalized,1.38,time,94,0.9436837159350249,breakout + momentum + volume,9.595962393443159,25.433529038693536,26.900586426035854,2.324204591220298,5.57932691251247,-6.89655698902934,3
2026-07-06,RIVN,88,18.6299991607666,3,,,,,,-2.7375112426586785,-2.7375112426586785,-7.085344896869563,7,none,—,,,,False,finalized,-8.51,stop,88,0.8838331942231263,breakout + momentum + volume,8.440039754562644,25.37011837948011,14.575638982311045,2.405015901471607,5.6709604804687626,-0.43126645281054776,3
2026-07-06,RXST,87,5.610000133514404,3,,,,,,-9.447418844825036,-9.447418844825036,-9.803924735208762,7,none,—,,,,False,finalized,-9.2,stop,87,0.8714514382141232,breakout + momentum + volume,8.510639279059129,9.356725309270253,22.222221067932367,2.382563400324889,6.130633998760564,-2.1857990418786377,3
2026-07-06,SLDE,96,21.25,3,,,,,,-2.070590748506434,-2.070590748506434,0.6117607565487132,7,none,—,,,,False,finalized,-3.67,time,96,0.9636967418546366,breakout + momentum + volume,6.303152792939515,17.663347886988223,26.187647312665852,2.5643609022556393,3.851091400915835,-6.3031527929395095,3
2026-07-07,LHSW,100,6.800000190734863,3,,,,,,-49.26470660420848,-49.26470660420848,-62.794119111394345,6,none,—,,,,False,finalized,-15.06,stop,100,1.0,breakout + momentum + volume,277.7777983818531,362.5850379855933,279.46428464516543,17.106791866319945,10.03991540127679,-70.68273710036686,3
2026-07-07,OFIX,95,11.56999969482422,3,,,,,,0.5185861814978275,0.5185861814978275,-5.358685409788177,6,none,—,,,,False,finalized,-2.29,time,95,0.9467319222383721,breakout + momentum + volume,16.398392185626864,18.302658596384447,22.43386167564314,2.3607830668604652,5.148782264195983,-9.357275786930048,3
2026-07-07,RMD,85,218.3999938964844,3,,,,,,-6.65293002992651,-6.65293002992651,-11.625457920883736,6,none,—,,,,False,finalized,-4.3,stop,85,0.8534887790298541,breakout + momentum + volume,4.183556174877956,9.041889868396847,15.78221292639348,2.2772038944193533,2.864010809546852,-4.1587187739874025,3
2026-07-08,KFRC,91,54.400001525878906,3,,,,,,2.996318396503269,2.996318396503269,2.0036766948790636,5,none,—,,,,False,finalized,1.74,time,91,0.9139804540474407,breakout + momentum + volume,7.765455664005572,10.099173636666482,23.805196235968463,2.6330546757360196,4.108455887324905,-5.836575702219694,3
2026-07-08,KURA,84,11.989999771118164,3,,,,,,-9.007505790847366,-9.007505790847366,-5.504585988416237,5,none,—,,,,False,finalized,-6.68,stop,84,0.8410598834282811,breakout + momentum + volume,8.605070765830703,9.298080941301734,15.733592359632432,2.0383902716837654,4.450136694836326,-6.720072430017407,3
2026-07-08,NGNE,88,36.79999923706055,3,,,,,,4.130436112164126,4.130436112164126,7.201091252225197,5,none,—,,,,False,finalized,16.79,target,88,0.8776215598111256,breakout + momentum + volume,13.022105911972126,14.002480262367989,14.108524766079222,2.4394696056483554,6.7156447298319835,-2.1229343496261364,3
2026-07-09,NVVE,100,8.489999771118164,3,,,,,,86.1013029056177,86.1013029056177,,4,none,—,,,,False,finalized,30.45,target,100,1.0,breakout + momentum + volume,63.58380881531325,2038.5389055416554,2419.287673229309,17.89300727652946,12.181558365535688,-32.44929755413032,3
2026-07-09,PRME,99,4.619999885559082,3,,,,,,-24.891772412017865,-24.891772412017865,,4,none,—,,,,False,finalized,-12.14,stop,99,0.9875800491226141,breakout + momentum + volume,15.789470539261586,25.203246989626283,42.59258864075288,2.8509605894713697,8.093692797785918,-6.94443754575898,3
