asof_date,ticker,confidence,entry,hold_days,ret_5d_pct,ret_10d_pct,atr_pct,vol_ratio,notes,hold_ret_pct,ret_3d_pct,ret_5d_fwd_pct,n_sessions_available,ai_gate,ai_decision,ai_total,ai_conviction,ai_model,has_ai,research_status,finalized_pnl_pct,finalized_outcome
2026-08-04,HYFM,100,2.1500000953674316,3,220.89552862868845,216.64212547172377,11.591361686544756,19.895095193301767,breakout + momentum + volume,-25.581398649819008,-25.581398649819008,-22.325584840748597,30,skipped,WAIT,,,rule_skip,True,finalized,-17.39,stop
2026-08-04,ITGR,100,124.44999694824219,3,25.201202251331445,29.513999054205932,3.450612379018065,10.969112287758284,breakout + momentum + volume,0.6589016246411333,0.6589016246411333,0.4740884421260344,30,skipped,WAIT,,,rule_skip,True,finalized,1.3,time
2026-08-04,LBRX,96,42.84000015258789,3,23.174242829728932,38.64077890440287,6.794218708520431,2.499068687852824,breakout + momentum + volume,12.044817528088647,12.044817528088647,5.812324553088712,30,skipped,WAIT,,,rule_skip,True,finalized,12.46,time
2026-08-04,LIFE,100,22.829999923706055,3,17.197127619055074,23.405404993005696,6.345034368021136,3.593604027208363,breakout + momentum + volume,38.458169538480945,38.458169538480945,46.51774030566872,30,skipped,WAIT,,,rule_skip,True,finalized,15.86,target
2026-08-04,LIND,95,33.119998931884766,3,17.90672393012953,19.99999447145331,4.580745851331482,2.4120701001779317,breakout + momentum + volume,2.5060419531481073,2.5060419531481073,-0.8454074302979703,30,filtered,WAIT,68.42,,gpt-5.4-2026-03-05,True,finalized,2.87,time
2026-08-04,MHK,93,132.99000549316406,3,15.033305761661175,23.13889397515192,3.658170078655544,2.2174359763300604,breakout + momentum + volume,2.3084400180686835,2.3084400180686835,2.7746404650127015,30,filtered,WAIT,61.47,,gpt-5.4-2026-03-05,True,finalized,-0.43,time
2026-08-04,OCTV,100,19.1299991607666,3,12.595641074029263,19.04168963318611,3.255918040437986,2.9670012018926006,breakout + momentum + volume,2.875069855525063,2.875069855525063,3.084165525963118,30,skipped,WAIT,,,rule_skip,True,finalized,1.52,time
2026-08-04,OWL,94,11.15999984741211,3,15.289250987368153,19.358282268410655,3.6885570409316735,2.263109376767334,breakout + momentum + volume,6.362008622719934,6.362008622719934,10.39426674236813,30,filtered,WAIT,71.08,,gpt-5.4-2026-03-05,True,finalized,2.69,time
2026-08-04,STGW,98,8.699999809265137,3,12.548509544608176,17.40890672627411,4.261084667223327,2.8394827507702582,breakout + momentum + volume,5.402301161367069,5.402301161367069,6.666669005178444,30,skipped,WAIT,,,rule_skip,True,finalized,4.83,time
2026-08-06,GENI,95,8.329999923706055,3,13.953488220393485,30.769231920872286,6.062424354948328,2.3979101811400576,breakout + momentum + volume,-6.60264020100203,-6.60264020100203,-5.042015937008493,28,filtered,WAIT,74.08,,gpt-5.4-2026-03-05,True,finalized,-9.09,stop
2026-08-06,SN,93,182.11000061035156,3,14.376334137769176,23.79172038256194,3.5801357300505874,2.1326518291946712,breakout + momentum + volume,3.058590616100318,3.058590616100318,3.558288599160052,28,filtered,WAIT,75.59,,gpt-5.4-2026-03-05,True,finalized,2.23,time
2026-08-07,NSIT,92,149.19000244140625,3,16.76450368718252,28.99014155079214,4.199823346202577,2.0479952976816214,breakout + momentum + volume,3.673166746374968,3.673166746374968,3.39164654185259,27,filtered,WAIT,71.49,,gpt-5.4-2026-03-05,True,finalized,1.18,time
2026-08-10,GTLB,96,38.970001220703125,3,12.923799235269783,24.584400144660922,5.2650389460175955,2.5442754551104922,breakout + momentum + volume,11.23941145008219,11.23941145008219,3.977415270065295,26,filtered,WAIT,87.37,,gpt-5.4-2026-03-05,True,finalized,4.72,time
2026-08-10,PRAA,96,19.790000915527344,3,13.932066547906686,16.548889570352298,4.829277641821615,2.887936699876449,breakout + momentum + volume,2.324401532047118,2.324401532047118,2.223340394731518,26,filtered,WAIT,80.8,,gpt-5.4-2026-03-05,True,finalized,-7.24,stop
2026-08-13,MNTN,92,11.949999809265137,3,18.905468482298062,24.99999251824576,5.726240332703628,2.087236746550472,breakout + momentum + volume,4.602512129819736,4.602512129819736,6.025106294785284,23,filtered,WAIT,88.73,,gpt-5.4-2026-03-05,True,finalized,4.77,time
2026-08-14,LUNR,92,17.559999465942383,3,17.615533201662824,43.346934415856175,7.763993421478023,2.057394780579441,breakout + momentum + volume,5.466973594842857,5.466973594842857,4.32802139619445,22,filtered,WAIT,92.41,,gpt-5.4-2026-03-05,True,finalized,9.97,time
2026-08-17,LPTH,94,15.170000076293945,3,16.15619899604239,46.2873697560902,7.491289538125445,2.2459195094296973,breakout + momentum + volume,-14.172709726308677,-14.172709726308677,-12.788398592862038,21,filtered,WAIT,100.0,,gpt-5.4-2026-03-05,True,finalized,-11.24,stop
2026-08-17,SGMT,94,10.550000190734863,3,16.445912826803166,48.38255967120637,6.259309866006631,2.228656796589116,breakout + momentum + volume,-3.50711074924721,-3.50711074924721,-3.2227505648147257,21,filtered,WAIT,100.0,,gpt-5.4-2026-03-05,True,finalized,0.28,time
2026-08-20,MGTX,92,14.970000267028809,3,15.509260979672245,21.806349174078466,4.613036528364903,2.010668328628515,breakout + momentum + volume,-0.33400311380710845,-0.33400311380710845,-5.544423862549092,18,filtered,WAIT,99.99,,gpt-5.4-2026-03-05,True,finalized,-6.92,stop
2026-08-20,PPC,95,31.280000686645508,3,16.455696112644635,17.682470942174966,4.414048113669613,2.489378194555341,breakout + momentum + volume,3.6764683123727213,3.6764683123727213,-0.5434804440975841,18,skipped,WAIT,,,rule_skip,True,finalized,3.68,time
2026-08-20,PRME,91,3.5399999618530273,3,10.624997159466187,14.935066543555987,5.9483449305339855,2.61289215931912,breakout + momentum + volume,4.80226101635282,4.80226101635282,2.824859865100884,18,filtered,WAIT,100.0,,gpt-5.4-2026-03-05,True,finalized,-8.92,stop
2026-08-20,PSNL,97,15.8100004196167,3,11.259678938596052,16.93786896684628,4.624559406053685,2.9052663374474035,breakout + momentum + volume,9.108156496925712,9.108156496925712,6.2618567622233074,18,filtered,WAIT,100.0,,gpt-5.4-2026-03-05,True,finalized,11.56,target
2026-08-28,NCNO,83,23.31999969482422,3,14.53830548004853,12.875120363300985,4.19045575070294,2.099371183383136,breakout + momentum + volume,-1.5437379911463651,-1.5437379911463651,-0.85763163568397,12,filtered,WAIT,79.52,,gpt-5.4-2026-03-05,True,finalized,-3.24,time
2026-08-28,NEO,89,18.639999389648438,3,12.764661919872665,13.727883366615924,3.989115716424611,2.6507627832489264,breakout + momentum + volume,-6.65235745842922,-6.65235745842922,-6.759653599281598,12,filtered,WAIT,79.08,,gpt-5.4-2026-03-05,True,finalized,-5.98,stop
2026-08-28,SNPS,86,464.8900146484375,3,16.830015822480227,12.905893053658168,3.0718487539486707,2.4606850544291063,breakout + momentum + volume,-10.52292221966353,-10.52292221966353,-15.28318793901553,12,skipped,WAIT,,,rule_skip,True,finalized,-4.61,stop
2026-08-28,SRPT,95,21.59000015258789,3,12.330910113959614,17.209555174615065,5.353007407802291,2.6347494663922792,breakout + momentum + volume,7.503473070693464,7.503473070693464,4.214913575639933,12,filtered,WAIT,74.79,,gpt-5.4-2026-03-05,True,finalized,5.28,time
2026-08-30,PD,95,13.829999923706055,3,12.256495667903344,16.21849047936481,4.242846423010052,2.804764030879957,breakout + momentum + volume,-0.43383893013049857,-0.43383893013049857,-1.5184376345953106,12,passed,BUY,100.0,,gpt-5.4-2026-03-05,True,finalized,3.18,target
2026-08-31,PD,95,13.829999923706055,3,12.256495667903344,16.21849047936481,4.242846423010052,2.804764030879957,breakout + momentum + volume,1.9522782196920825,1.9522782196920825,-3.687635043524921,11,filtered,WAIT,91.79,,gpt-5.4-2026-03-05,True,finalized,1.01,time
2026-09-07,GPI,89,300.760009765625,3,13.945821502641763,14.859653524975403,3.280974024603546,2.4109534676059132,breakout + momentum + volume,-6.29073319300958,-6.29073319300958,-5.569227697085755,7,filtered,WAIT,95.74,,gpt-5.4-2026-03-05,True,finalized,-4.92,stop
2026-09-08,GPI,89,300.760009765625,3,13.945821502641763,14.859653524975403,3.280974024603546,2.4109534676059132,breakout + momentum + volume,-7.477726105658442,-7.477726105658442,-8.415350759347458,6,filtered,WAIT,63.85,,gpt-5.4-2026-03-05,True,finalized,-4.92,stop
2026-09-08,MLYS,96,31.1200008392334,3,21.231011868879925,23.149981303907886,4.6720071843229745,2.5790709534110032,breakout + momentum + volume,-9.383035862750091,-9.383035862750091,-7.1015449217058535,6,filtered,WAIT,98.4,,gpt-5.4-2026-03-05,True,finalized,-6.41,time
2026-09-08,ROIV,92,41.47999954223633,3,19.74595921797824,14.081404966828082,3.9469977789596267,2.9140378942734024,breakout + momentum + volume,-1.5911271685629942,-1.5911271685629942,-4.773383712842683,6,passed,BUY,100.0,,gpt-5.4-2026-03-05,True,finalized,-2.97,stop
2026-09-10,META,86,653.6900024414062,3,12.989599209773296,14.6724000420142,3.044803723133446,2.0673745908085603,breakout + momentum + volume,2.5317807365544382,2.5317807365544382,,4,filtered,WAIT,73.55,,gpt-5.4-2026-03-05,True,finalized,1.94,time
2026-09-11,QRVO,92,112.36000061035156,3,11.656567303081356,18.10584757170175,2.9734146856046735,2.2150941171847367,breakout + momentum + volume,1.4328937174285752,1.4328937174285752,,3,filtered,WAIT,96.77,,gpt-5.4-2026-03-05,True,finalized,3.24,time
2026-09-14,INSP,95,73.0,3,17.47666674769983,20.026307738065153,4.208512128915806,2.390474319441716,breakout + momentum + volume,,,,2,filtered,WAIT,91.51,,gpt-5.4-2026-03-05,True,,,
2026-09-14,QRVO,92,116.6500015258789,3,16.20841274919136,21.283012222658073,3.2339111413386266,2.01278703121486,breakout + momentum + volume,,,,2,filtered,WAIT,78.62,,gpt-5.4-2026-03-05,True,,,
2026-09-16,MYGN,95,3.880000114440918,3,22.012579653733756,20.49689689336891,5.191457750490926,2.452320073772897,breakout + momentum + volume,,,,0,filtered,AVOID,80.44,,gpt-5.4-2026-03-05,True,,,
2026-09-16,SDGR,100,23.25,3,16.075882191563508,19.23076923076923,5.207988780031922,3.3197728138588802,breakout + momentum + volume,,,,0,filtered,WAIT,74.45,,gpt-5.4-2026-03-05,True,,,
