[02/15/26 23:51:20] INFO     signals-bot starting                                                                                                                              
                    INFO     WAIT AI conf=5 score=0.050 close=$10.78 volRatio=0.75 ret5=-7.47% brkDist=24.08% atr=8.72% :: no breakout, weak momentum, low volume              
[02/15/26 23:51:43] INFO     WAIT AIP conf=15 score=0.152 close=$14.62 volRatio=2.28 ret5=-2.08% brkDist=19.89% atr=6.81% :: no breakout, weak momentum, low volume            
[02/15/26 23:51:44] INFO     WAIT ALGM conf=8 score=0.078 close=$42.38 volRatio=0.49 ret5=1.95% brkDist=3.37% atr=5.41% :: no breakout, weak momentum, low volume              
[02/15/26 23:51:45] INFO     WAIT ALH conf=4 score=0.040 close=$23.38 volRatio=0.59 ret5=-2.66% brkDist=6.89% atr=3.53% :: no breakout, weak momentum, low volume              
                    INFO     WAIT ALHC conf=5 score=0.047 close=$20.19 volRatio=0.71 ret5=-7.17% brkDist=15.42% atr=5.38% :: no breakout, weak momentum, low volume            
[02/15/26 23:51:46] INFO     WAIT ALK conf=5 score=0.050 close=$55.27 volRatio=0.74 ret5=-7.03% brkDist=8.84% atr=4.96% :: no breakout, weak momentum, low volume              
                    INFO     WAIT ALKS conf=3 score=0.033 close=$33.16 volRatio=0.49 ret5=-5.01% brkDist=6.17% atr=3.57% :: no breakout, weak momentum, low volume             
[02/15/26 23:51:47] INFO     WAIT ALKT conf=7 score=0.067 close=$16.27 volRatio=1.01 ret5=-6.66% brkDist=30.77% atr=8.19% :: no breakout, weak momentum, low volume            
[02/15/26 23:51:48] INFO     WAIT ALLY conf=5 score=0.046 close=$40.80 volRatio=0.69 ret5=-3.57% brkDist=8.12% atr=3.28% :: no breakout, weak momentum, low volume             
                    INFO     WAIT ALM conf=3 score=0.031 close=$13.84 volRatio=0.47 ret5=-1.84% brkDist=7.21% atr=9.50% :: no breakout, weak momentum, low volume              
                    INFO     WAIT ALMS conf=8 score=0.083 close=$26.54 volRatio=0.78 ret5=1.34% brkDist=6.19% atr=7.39% :: no breakout, weak momentum, low volume              
[02/15/26 23:51:49] INFO     WAIT ALMU conf=9 score=0.088 close=$14.43 volRatio=1.32 ret5=-4.18% brkDist=38.25% atr=10.29% :: no breakout, weak momentum, low volume           
                    INFO     WAIT ALNT conf=7 score=0.069 close=$66.66 volRatio=0.54 ret5=1.40% brkDist=4.77% atr=5.39% :: no breakout, weak momentum, low volume              
[02/15/26 23:51:50] INFO     WAIT ALT conf=5 score=0.050 close=$4.53 volRatio=0.74 ret5=-6.98% brkDist=29.66% atr=9.80% :: no breakout, weak momentum, low volume              
[02/15/26 23:51:51] INFO     WAIT AMAL conf=5 score=0.055 close=$41.39 volRatio=0.70 ret5=0.34% brkDist=2.97% atr=3.36% :: no breakout, weak momentum, low volume              
[02/15/26 23:51:52] INFO     WAIT AMBA conf=10 score=0.097 close=$66.21 volRatio=0.67 ret5=4.04% brkDist=7.27% atr=4.90% :: no breakout, weak momentum, low volume             
                    INFO     WAIT AMBQ conf=3 score=0.034 close=$29.59 volRatio=0.52 ret5=-1.17% brkDist=20.90% atr=6.18% :: no breakout, weak momentum, low volume            
[02/15/26 23:51:53] INFO     WAIT AMKR conf=17 score=0.172 close=$47.48 volRatio=2.58 ret5=-3.81% brkDist=16.83% atr=8.30% :: no breakout, weak momentum                       
                    INFO     WAIT AMLX conf=3 score=0.028 close=$14.12 volRatio=0.42 ret5=1.00% brkDist=19.27% atr=6.84% :: no breakout, weak momentum, low volume             
[02/15/26 23:51:54] INFO     WAIT AMN conf=13 score=0.131 close=$16.25 volRatio=1.96 ret5=-19.95% brkDist=28.57% atr=8.33% :: no breakout, weak momentum, low volume           
                    INFO     WAIT AMPH conf=6 score=0.060 close=$28.50 volRatio=0.90 ret5=-2.60% brkDist=3.26% atr=3.28% :: no breakout, weak momentum, low volume             
[02/15/26 23:51:55] INFO     WAIT AMPL conf=11 score=0.113 close=$6.34 volRatio=1.70 ret5=-12.31% brkDist=42.62% atr=9.29% :: no breakout, weak momentum, low volume           
                    INFO     WAIT AMPX conf=5 score=0.050 close=$9.97 volRatio=0.75 ret5=-18.55% brkDist=32.91% atr=14.54% :: no breakout, weak momentum, low volume           
[02/15/26 23:51:56] INFO     WAIT AMRC conf=12 score=0.118 close=$32.68 volRatio=0.77 ret5=5.69% brkDist=4.22% atr=7.41% :: no breakout, weak momentum, low volume             
[02/15/26 23:51:57] INFO     WAIT AMSC conf=29 score=0.294 close=$34.26 volRatio=1.03 ret5=21.62% brkDist=3.49% atr=8.62% :: no breakout, weak momentum, low volume            
[02/15/26 23:51:58] INFO     WAIT AMTB conf=4 score=0.041 close=$22.44 volRatio=0.61 ret5=-3.36% brkDist=4.69% atr=3.09% :: no breakout, weak momentum, low volume             
                    INFO     WAIT AMWD conf=10 score=0.102 close=$58.76 volRatio=1.53 ret5=-13.00% brkDist=15.28% atr=5.67% :: no breakout, weak momentum, low volume          
[02/15/26 23:51:59] INFO     WAIT ANAB conf=24 score=0.245 close=$53.08 volRatio=1.31 ret5=6.74% brkDist=5.87% atr=6.95% :: no breakout, weak momentum, low volume             
[02/15/26 23:52:01] INFO     WAIT ANGI conf=12 score=0.119 close=$8.10 volRatio=1.78 ret5=-31.65% brkDist=40.83% atr=9.25% :: no breakout, weak momentum, low volume           
