[02/19/26 10:42:00] INFO     signals-bot starting                                                                                                                              
                    INFO     run_id=daily_close_scan-20260219T084200Z                                                                                                          
                    INFO     config=/Users/talshitrit/Workspace/Personal/trading/trading-signals/config.yaml                                                                   
[02/19/26 10:42:01] INFO     IBKR Flex holdings loaded: 4 symbols                                                                                                              
                    INFO     IBKR holding: HAS buy_price=- buy_time=-                                                                                                          
                    INFO     IBKR holding: KR buy_price=- buy_time=-                                                                                                           
                    INFO     IBKR holding: MAS buy_price=- buy_time=-                                                                                                          
                    INFO     IBKR holding: VTRS buy_price=- buy_time=-                                                                                                         
                    INFO     Universe size: 114 tickers                                                                                                                        
[02/19/26 10:42:02] INFO     WAIT AA conf=4 score=0.041 close=$60.21 volRatio=0.62 ret5=-2.51% brkDist=7.37% atr=6.34% :: no breakout, weak momentum, low volume               
[02/19/26 10:42:03] INFO     WAIT AAL conf=8 score=0.084 close=$14.10 volRatio=1.25 ret5=-6.62% brkDist=9.30% atr=4.66% :: no breakout, weak momentum, low volume              
[02/19/26 10:42:04] INFO     WAIT AAMI conf=6 score=0.060 close=$52.72 volRatio=0.43 ret5=2.13% brkDist=6.62% atr=4.67% :: no breakout, weak momentum, low volume              
                    INFO     WAIT AAOI conf=2 score=0.023 close=$43.44 volRatio=0.35 ret5=-10.41% brkDist=14.49% atr=13.20% :: no breakout, weak momentum, low volume          
[02/19/26 10:42:05] INFO     WAIT AAP conf=6 score=0.056 close=$55.93 volRatio=0.85 ret5=-1.18% brkDist=14.22% atr=6.22% :: no breakout, weak momentum, low volume             
[02/19/26 10:42:06] INFO     WAIT ABAT conf=4 score=0.036 close=$3.66 volRatio=0.54 ret5=-10.73% brkDist=28.45% atr=10.08% :: no breakout, weak momentum, low volume           
                    INFO     WAIT ABCL conf=3 score=0.025 close=$3.13 volRatio=0.38 ret5=-0.95% brkDist=35.46% atr=7.90% :: no breakout, weak momentum, low volume             
[02/19/26 10:42:07] INFO     WAIT ABEO conf=3 score=0.026 close=$5.12 volRatio=0.38 ret5=0.00% brkDist=5.54% atr=4.19% :: no breakout, weak momentum, low volume               
